2025-11-01 16:13:21,168 INFO    MainThread:75081 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_setup.py:_flush():81] Configure stats pid to 75081
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_setup.py:_flush():81] Loading settings from /Users/jade/.config/wandb/settings
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_setup.py:_flush():81] Loading settings from /Users/jade/agi-house-111/wandb/settings
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /Users/jade/agi-house-111/wandb/run-20251101_161321-q8cbddsf/logs/debug.log
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /Users/jade/agi-house-111/wandb/run-20251101_161321-q8cbddsf/logs/debug-internal.log
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_init.py:init():833] calling init triggers
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'episodes': 100, 'reward_threshold': 0.8, 'model': 'gpt-4', '_wandb': {}}
2025-11-01 16:13:21,169 INFO    MainThread:75081 [wandb_init.py:init():881] starting backend
2025-11-01 16:13:21,385 INFO    MainThread:75081 [wandb_init.py:init():884] sending inform_init request
2025-11-01 16:13:21,398 INFO    MainThread:75081 [wandb_init.py:init():892] backend started and connected
2025-11-01 16:13:21,400 INFO    MainThread:75081 [wandb_init.py:init():962] updated telemetry
2025-11-01 16:13:21,410 INFO    MainThread:75081 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-01 16:13:21,904 INFO    MainThread:75081 [wandb_init.py:init():1033] starting run threads in backend
2025-11-01 16:13:21,964 INFO    MainThread:75081 [wandb_run.py:_console_start():2506] atexit reg
2025-11-01 16:13:21,964 INFO    MainThread:75081 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-01 16:13:21,964 INFO    MainThread:75081 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-01 16:13:21,964 INFO    MainThread:75081 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-01 16:13:21,965 INFO    MainThread:75081 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-01 16:13:55,079 INFO    wandb-AsyncioManager-main:75081 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-01 16:13:55,080 INFO    wandb-AsyncioManager-main:75081 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
